iter	Passed	Remaining
0	156	156011
1	166	83051
2	175	58165
3	185	46169
4	194	38692
5	203	33789
6	213	30335
7	222	27610
8	232	25578
9	240	23851
10	250	22510
11	257	21218
12	265	20192
13	271	19147
14	278	18267
15	283	17430
16	288	16668
17	293	16003
18	298	15390
19	302	14798
20	306	14270
21	311	13831
22	315	13385
23	319	12975
24	322	12593
25	328	12290
26	332	11968
27	335	11662
28	340	11390
29	345	11180
30	350	10960
31	355	10739
32	360	10560
33	364	10361
34	369	10186
35	375	10047
36	379	9873
37	383	9716
38	388	9564
39	393	9435
40	396	9280
41	400	9136
42	404	8995
43	409	8891
44	412	8760
45	416	8639
46	420	8520
47	424	8425
48	428	8314
49	432	8208
50	435	8105
51	440	8024
52	443	7930
53	447	7844
54	452	7766
55	456	7703
56	460	7621
57	464	7546
58	468	7472
59	473	7418
60	477	7350
61	481	7289
62	486	7239
63	491	7187
64	496	7145
65	501	7097
66	507	7066
67	512	7020
68	517	6978
69	523	6949
70	528	6912
71	533	6878
72	540	6864
73	546	6833
74	551	6803
75	556	6769
76	561	6727
77	565	6687
78	570	6655
79	574	6609
80	578	6566
81	583	6531
82	588	6505
83	593	6471
84	597	6435
85	602	6406
86	606	6366
87	610	6327
88	614	6293
89	619	6264
90	623	6232
91	628	6198
92	633	6177
93	637	6142
94	641	6108
95	645	6075
96	650	6054
97	654	6021
98	658	5990
99	662	5963
100	667	5944
101	671	5914
102	675	5886
103	680	5865
104	685	5840
105	689	5811
106	692	5781
107	697	5759
108	701	5730
109	704	5701
110	708	5678
111	713	5659
112	717	5635
113	722	5613
114	726	5590
115	732	5579
116	738	5576
117	742	5553
118	748	5541
119	752	5521
120	756	5497
121	762	5486
122	766	5463
123	770	5440
124	774	5420
125	779	5404
126	783	5385
127	787	5362
128	790	5338
129	795	5322
130	798	5299
131	802	5276
132	806	5254
133	811	5242
134	814	5221
135	818	5200
136	822	5179
137	826	5165
138	830	5144
139	834	5124
140	838	5106
141	843	5094
142	847	5077
143	850	5058
144	854	5040
145	860	5031
146	864	5015
147	868	4997
148	872	4982
149	877	4971
150	881	4954
151	884	4936
152	888	4919
153	893	4908
154	897	4892
155	901	4875
156	905	4859
157	910	4850
158	914	4835
159	918	4820
160	922	4809
161	927	4799
162	932	4788
163	937	4778
164	942	4770
165	946	4755
166	950	4739
167	953	4724
168	958	4715
169	962	4701
170	967	4692
171	973	4687
172	978	4678
173	983	4667
174	987	4657
175	992	4647
176	997	4637
177	1002	4627
178	1007	4621
179	1012	4614
180	1018	4607
181	1024	4604
182	1029	4596
183	1034	4588
184	1041	4586
185	1046	4577
186	1050	4569
187	1057	4565
