iter	Passed	Remaining
0	9	9116
1	18	9075
2	32	10636
3	34	8709
4	43	8706
5	54	8962
6	56	8059
7	70	8693
8	83	9215
9	109	10882
10	120	10835
11	128	10565
12	145	11014
13	156	11024
14	171	11284
15	183	11297
16	192	11120
17	205	11225
18	212	10993
19	218	10714
20	225	10495
21	232	10348
22	238	10117
23	245	9968
24	250	9758
25	256	9621
26	261	9425
27	268	9304
28	271	9074
29	273	8849
30	283	8852
31	307	9313
32	315	9234
33	335	9523
34	349	9637
35	355	9527
36	369	9617
37	376	9527
38	386	9528
39	393	9438
40	400	9373
41	405	9257
42	414	9217
43	423	9191
44	427	9081
45	443	9193
46	450	9143
47	464	9205
48	469	9116
49	480	9127
50	486	9047
51	498	9095
52	505	9038
53	517	9068
54	522	8969
55	529	8924
56	534	8839
57	543	8825
58	561	8960
59	569	8926
60	574	8845
61	582	8815
62	587	8737
63	591	8644
64	593	8538
65	596	8440
66	605	8432
67	608	8339
68	618	8349
69	621	8261
70	631	8266
71	634	8179
72	638	8114
73	641	8030
74	644	7951
75	654	7957
76	657	7882
77	662	7828
78	665	7760
79	668	7687
80	672	7627
81	675	7564
82	678	7497
83	682	7441
84	685	7380
85	688	7318
86	692	7267
87	697	7230
88	703	7197
89	710	7183
90	715	7144
91	723	7135
92	728	7106
93	734	7082
94	739	7047
95	742	6993
96	746	6951
97	749	6899
98	752	6847
99	772	6953
100	775	6904
101	780	6873
102	784	6831
103	787	6786
104	790	6737
105	793	6696
106	797	6655
107	801	6616
108	804	6577
109	808	6540
110	812	6504
111	815	6466
112	818	6427
113	822	6390
114	826	6357
115	829	6320
116	832	6286
117	843	6301
118	845	6262
119	860	6311
120	863	6273
121	883	6358
122	889	6339
123	901	6365
124	907	6355
125	913	6334
126	925	6364
127	931	6345
128	944	6373
129	950	6363
130	959	6361
131	961	6324
132	988	6445
133	994	6425
134	1000	6413
135	1015	6448
136	1021	6434
137	1028	6425
138	1033	6402
139	1048	6438
140	1051	6407
141	1061	6415
142	1065	6383
143	1068	6353
144	1079	6363
145	1094	6401
146	1105	6416
147	1110	6391
148	1117	6380
149	1121	6354
150	1133	6375
151	1147	6402
152	1160	6422
153	1166	6407
154	1178	6422
155	1182	6399
156	1185	6366
157	1190	6341
158	1193	6310
159	1195	6278
160	1201	6261
161	1204	6230
162	1208	6206
163	1211	6176
164	1214	6145
165	1218	6122
166	1221	6093
167	1224	6064
